Name,Address,Latitude,Longitude,Opening Hours,Popular Times,Secondary Opening Hours,Open Now,Current Opening Hours
Palisades Park,Ocean Ave, Santa Monica, CA 90401, United States,34.0230179,-118.5094604,N/A,N/A,N/A,N/A,N/A
Eames Foundation,203 Chautauqua Blvd, Pacific Palisades, CA 90272, United States,34.0298346,-118.5193951,N/A,N/A,N/A,N/A,N/A
Palisades Garden Cafe,15231 La Cruz Dr, Pacific Palisades, CA 90272, United States,34.0457112,-118.5250564,N/A,N/A,N/A,N/A,N/A
Palisades Pizza,860 Vía De La Paz Suite A4, Pacific Palisades, CA 90272, United States,34.0465873,-118.5270416,N/A,N/A,N/A,N/A,N/A
Taco Bell,17299 Pacific Coast Hwy, Pacific Palisades, CA 90272, United States,34.038964,-118.554612,N/A,N/A,N/A,N/A,N/A
Qué Padre,15203 Palisades Village Ln, Pacific Palisades, CA 90272, United States,34.0470739,-118.5245666,N/A,N/A,N/A,N/A,N/A
Porta Via Pacific Palisades,1063 N Swarthmore Ave, Pacific Palisades, CA 90272, United States,34.0482996,-118.5247998,N/A,N/A,N/A,N/A,N/A
Cafe Vida,15317 Antioch St, Pacific Palisades, CA 90272, United States,34.047282,-118.5264437,N/A,N/A,N/A,N/A,N/A
Palisades Village,15225 Palisades Village Ln, Pacific Palisades, CA 90272, United States,34.04763490000001,-118.5248688,N/A,N/A,N/A,N/A,N/A
Vittorio Ristorante & Pizzeria,16646 Marquez Ave, Pacific Palisades, CA 90272, United States,34.0479845,-118.5446079,N/A,N/A,N/A,N/A,N/A
Inspiration Point View,Will Rogers State Park Rd, Pacific Palisades, CA 90272, United States,34.0596882,-118.5138398,N/A,N/A,N/A,N/A,N/A
Beech Street Cafe,863 N Swarthmore Ave, Pacific Palisades, CA 90272, United States,34.0465506,-118.5261783,N/A,N/A,N/A,N/A,N/A
Domino's Pizza,16605 Sunset Blvd Suite 103 Ste 103, Pacific Palisades, CA 90272, United States,34.0478915,-118.5440505,N/A,N/A,N/A,N/A,N/A
Los Leones Canyon,510 Los Liones Dr, Pacific Palisades, CA 90272, United States,34.0473556,-118.560069,N/A,N/A,N/A,N/A,N/A
Armav,970 Monument St #119, Pacific Palisades, CA 90272, United States,34.0464802,-118.5239132,N/A,N/A,N/A,N/A,N/A
Taj Palace Indian Cuisine,15200 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0458569,-118.5248104,N/A,N/A,N/A,N/A,N/A
MUSE Santa Monica,108 W Channel Rd, Santa Monica, CA 90402, United States,34.0283775,-118.5189658,N/A,N/A,N/A,N/A,N/A
Giorgio Baldi,114 W Channel Rd, Santa Monica, CA 90402, United States,34.0284804,-118.5187919,N/A,N/A,N/A,N/A,N/A
Caffé Delfini,147 W Channel Rd, Santa Monica, CA 90402, United States,34.0290339,-118.5184118,N/A,N/A,N/A,N/A,N/A
Thai Vegan III,17338 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0403212,-118.5534757,N/A,N/A,N/A,N/A,N/A
Neto’s Cafe,14800 Pacific Coast Hwy, Santa Monica, CA 90402, United States,34.02787,-118.51927,N/A,N/A,N/A,N/A,N/A
The Palisades Villa,16629 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0474899,-118.544057,N/A,N/A,N/A,N/A,N/A
Back on the Beach Cafe,445 CA-1, Santa Monica, CA 90402, United States,34.0237954,-118.5128558,N/A,N/A,N/A,N/A,N/A
Santa Monica Pier Arch,81-99 Colorado Ave, Santa Monica, CA 90401, United States,34.01126199999999,-118.4951136,N/A,N/A,N/A,N/A,N/A
Original Muscle Beach Santa Monica,Ocean Front Walk, Santa Monica, CA 90401, United States,34.0090094,-118.494764,N/A,N/A,N/A,N/A,N/A
Tongva Park,1615 Ocean Ave, Santa Monica, CA 90401, United States,34.0111203,-118.4932405,N/A,N/A,N/A,N/A,N/A
Rustic Canyon,1119 Wilshire Blvd, Santa Monica, CA 90401, United States,34.0250524,-118.4912732,N/A,N/A,N/A,N/A,N/A
Venice Boardwalk,Beach pavillion in, Los Angeles, CA, United States,33.9909254,-118.4774439,N/A,N/A,N/A,N/A,N/A
Pacific Wheel,380 Santa Monica Pier, Santa Monica, CA 90401, United States,34.0082925,-118.497882,N/A,N/A,N/A,N/A,N/A
Élephante,1332 2nd St Rooftop, Santa Monica, CA 90401, United States,34.0152447,-118.4979996,N/A,N/A,N/A,N/A,N/A
Ye Olde King's Head,116 Santa Monica Blvd, Santa Monica, CA 90401, United States,34.01456,-118.4972077,N/A,N/A,N/A,N/A,N/A
Las Tunas Beach,19444 Pacific Coast Hwy, Malibu, CA 90265, United States,34.0393574,-118.5971744,N/A,N/A,N/A,N/A,N/A
Farmshop,225 26th St #25, Santa Monica, CA 90402, United States,34.0474434,-118.490448,N/A,N/A,N/A,N/A,N/A
Franklin D. Murphy Sculpture Garden,Franklin D. Murphy Sculpture Garden, 245 Charles E Young Dr E, Los Angeles, CA 90095, United States,34.0751,-118.4400333,N/A,N/A,N/A,N/A,N/A
Maria Sol,401 Santa Monica Pier, Santa Monica, CA 90401, United States,34.0077027,-118.4997326,N/A,N/A,N/A,N/A,N/A
Douglas Park,2439 Wilshire Blvd, Santa Monica, CA 90403, United States,34.0355644,-118.4792485,N/A,N/A,N/A,N/A,N/A
Santa Monica Beach,Santa Monica, CA 90401, United States,34.0126246,-118.500347,N/A,N/A,N/A,N/A,N/A
Massilia,1445 4th St, Santa Monica, CA 90401, United States,34.0155702,-118.4939658,N/A,N/A,N/A,N/A,N/A
Huckleberry Bakery & Cafe,1014 Wilshire Blvd, Santa Monica, CA 90401, United States,34.0238694,-118.4920639,N/A,N/A,N/A,N/A,N/A
Universal Studios Hollywood,100 Universal City Plaza, Universal City, CA 91608, United States,34.1370713,-118.3533061,N/A,N/A,N/A,N/A,N/A
Santa Monica Pier Carousel,1624 Ocean Front Walk, Santa Monica, CA 90401, United States,34.010113,-118.4961279,N/A,N/A,N/A,N/A,N/A
West Coaster,380 Santa Monica Pier, Santa Monica, CA 90401, United States,34.0082628,-118.4976237,N/A,N/A,N/A,N/A,N/A
